Tornado | trigger: hover | mechanic: swirl
Trash | trigger: hover | mechanic: open
Trees | trigger: hover | mechanic: sway
TrendingDown | trigger: hover | mechanic: drop
TrendingUp | trigger: hover | mechanic: climb
Trophy | trigger: hover | mechanic: raise
Truck | trigger: hover | mechanic: drive
Trumpet | trigger: hover | mechanic: blare
Tv | trigger: tap | mechanic: flicker
Umbrella | trigger: hover | mechanic: open
Unlock | trigger: tap | mechanic: lock
Upload | trigger: hover | mechanic: bounce
Usb | trigger: hover | mechanic: connect
User | trigger: hover | mechanic: nod
UserMinus | trigger: hover | mechanic: remove
UserPlus | trigger: hover | mechanic: add
Users | trigger: hover | mechanic: huddle
Utensils | trigger: hover | mechanic: pickup
UtensilsCrossed | trigger: tap | mechanic: clash
Venus | trigger: hover | mechanic: settle
Video | trigger: tap | mechanic: record
VideoOff | trigger: tap | mechanic: stop
Voicemail | trigger: hover | mechanic: record
Volume1 | trigger: tap | mechanic: hum
Volume2 | trigger: hover | mechanic: play
VolumeX | trigger: hover | mechanic: mute
Wallet | trigger: tap | mechanic: open
Watch | trigger: hover | mechanic: strap
Waves | trigger: hover | mechanic: ripple
Waypoints | trigger: hover | mechanic: ping
Webcam | trigger: tap | mechanic: capture
Wheat | trigger: hover | mechanic: sway
Wifi | trigger: hover | mechanic: connect
WifiOff | trigger: tap | mechanic: cut
Wind | trigger: hover | mechanic: blow
Windmill | trigger: hover | mechanic: spin
Wine | trigger: hover | mechanic: swirl
Wrench | trigger: hover | mechanic: tighten
X | trigger: hover | mechanic: spin
XCircle | trigger: tap | mechanic: reject
Zap | trigger: hover | mechanic: strike
ZapOff | trigger: tap | mechanic: cut
